                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.4864,                 5.7209,                 3.5208,                      0,                      0,                      0,                      0,                 5.1947,                 5.2674,                 2.8249,               0.070244,              0.0033062,              0.0033062
                      1,                 4.3387,                 4.3647,                  2.819,                0.33551,                 0.0155,                0.00053,                0.00011,                 4.1304,                 7.6115,                  2.644,               0.040178,              0.0065738,              0.0065738
                      2,                 3.8672,                 3.9738,                 2.3551,                0.37425,                0.04264,                 0.0179,                0.00536,                 3.5874,                 5.4718,                 2.1259,               0.010046,              0.0097754,              0.0097754
                      3,                 3.5076,                 3.6929,                 2.0837,                0.43054,                0.06503,                0.01924,                0.00539,                 3.5924,                 3.9117,                 2.0122,               0.009703,               0.009703,               0.009703
                      4,                  3.295,                 3.3406,                 1.9515,                0.15936,                0.09658,                0.05906,                0.01562,                 3.4444,                 3.5071,                 1.9565,               0.009703,               0.009703,               0.009703
                      5,                 3.1646,                 3.1168,                 1.8458,                0.26935,                0.09858,                0.04819,                0.01437,                 3.1281,                 3.4048,                 1.8036,               0.009604,               0.009604,               0.009604
                      6,                 3.0633,                 3.0042,                  1.803,                0.74427,                0.05039,                0.06401,                0.02401,                 3.1489,                 3.5839,                 1.8327,               0.009505,               0.009505,               0.009505
                      7,                 2.9168,                 2.8402,                 1.7694,                0.18284,                0.14134,                0.11087,                0.04065,                 3.0087,                  3.415,                 1.7387,               0.009406,               0.009406,               0.009406
                      8,                 2.8235,                 2.7179,                 1.6947,                0.22196,                0.15262,                0.13173,                0.04164,                 2.9564,                 2.8687,                 1.7289,               0.009307,               0.009307,               0.009307
                      9,                 2.7451,                 2.5854,                 1.6691,                0.34779,                0.18115,                0.16431,                0.05678,                  3.029,                 2.7099,                 1.7727,               0.009208,               0.009208,               0.009208
                     10,                 2.6237,                 2.4123,                 1.5959,                0.22222,                0.15566,                0.15811,                0.05423,                 2.7492,                 2.4892,                 1.6238,               0.009109,               0.009109,               0.009109
                     11,                  2.608,                 2.3398,                 1.6131,                 0.3966,                 0.2756,                0.23369,                0.08967,                 2.6181,                 2.3393,                 1.5494,                0.00901,                0.00901,                0.00901
                     12,                 2.4712,                 2.1982,                 1.5439,                0.46332,                 0.2511,                0.24185,                 0.0887,                 2.5694,                 2.2327,                 1.5313,               0.008911,               0.008911,               0.008911
                     13,                 2.4662,                  2.145,                 1.5167,                0.34741,                0.21584,                 0.2211,                0.09039,                 2.5766,                 2.4023,                 1.5384,               0.008812,               0.008812,               0.008812
                     14,                 2.4145,                 2.0794,                 1.5218,                0.47428,                0.22289,                0.25948,                0.10259,                 2.4686,                 2.1321,                 1.5088,               0.008713,               0.008713,               0.008713
                     15,                 2.3847,                   2.03,                 1.4748,                 0.4697,                  0.302,                0.28152,                0.12678,                 2.3607,                 2.1796,                 1.4145,               0.008614,               0.008614,               0.008614
                     16,                 2.3126,                 1.9367,                 1.4679,                 0.5758,                0.29132,                0.30276,                0.13455,                 2.3739,                 2.1093,                 1.4431,               0.008515,               0.008515,               0.008515
                     17,                 2.2948,                 1.9187,                 1.4306,                0.51204,                0.32667,                0.32035,                0.13803,                 2.3594,                 1.9766,                 1.4266,               0.008416,               0.008416,               0.008416
                     18,                 2.2446,                 1.8073,                 1.4264,                0.54917,                0.32596,                0.33423,                0.14146,                  2.373,                 1.9136,                 1.4148,               0.008317,               0.008317,               0.008317
                     19,                 2.2036,                 1.7295,                 1.3837,                0.52559,                0.33325,                  0.358,                0.17377,                 2.2227,                 1.7375,                 1.4086,               0.008218,               0.008218,               0.008218
                     20,                 2.1596,                  1.697,                 1.3929,                0.48667,                0.34125,                0.33063,                0.16459,                 2.1947,                 1.8553,                 1.3612,               0.008119,               0.008119,               0.008119
